CustomerID,SignupDate,AcquisitionChannel
1001,2025-07-01,Social Media
1002,2025-04-01,Social Media
1003,2025-11-01,Referral
1004,2025-08-01,Organic
1005,2025-05-01,Referral
1006,2025-07-01,Social Media
1007,2025-10-01,Organic
1008,2025-03-01,Referral
1009,2025-07-01,Referral
1010,2025-11-01,Social Media
1011,2025-11-01,Organic
1012,2025-08-01,Social Media
1013,2025-05-01,Organic
1014,2025-04-01,Email
1015,2025-08-01,Paid Search
1016,2025-08-01,Paid Search
1017,2025-03-01,Paid Search
1018,2025-06-01,Social Media
1019,2025-05-01,Email
1020,2025-02-01,Organic
1021,2025-08-01,Referral
1022,2025-12-01,Organic
1023,2025-06-01,Referral
1024,2025-02-01,Organic
1025,2025-12-01,Email
1026,2025-05-01,Referral
1027,2025-01-01,Social Media
1028,2025-12-01,Organic
1029,2025-10-01,Organic
1030,2025-06-01,Referral
1031,2025-12-01,Social Media
1032,2025-09-01,Social Media
1033,2025-01-01,Email
1034,2025-11-01,Social Media
1035,2025-11-01,Social Media
1036,2025-10-01,Social Media
1037,2025-12-01,Paid Search
1038,2025-12-01,Email
1039,2025-03-01,Organic
1040,2025-12-01,Referral
1041,2025-07-01,Organic
1042,2025-04-01,Email
1043,2025-09-01,Referral
1044,2025-03-01,Email
1045,2025-05-01,Social Media
1046,2025-03-01,Referral
1047,2025-07-01,Social Media
1048,2025-05-01,Organic
1049,2025-09-01,Organic
1050,2025-07-01,Referral
1051,2025-02-01,Referral
1052,2025-04-01,Email
1053,2025-09-01,Email
1054,2025-12-01,Social Media
1055,2025-02-01,Referral
1056,2025-10-01,Organic
1057,2025-09-01,Email
1058,2025-10-01,Email
1059,2025-05-01,Organic
1060,2025-02-01,Email
1061,2025-04-01,Social Media
1062,2025-12-01,Referral
1063,2025-12-01,Organic
1064,2025-07-01,Referral
1065,2025-12-01,Email
1066,2025-08-01,Email
1067,2025-03-01,Organic
1068,2025-01-01,Social Media
1069,2025-04-01,Paid Search
1070,2025-02-01,Organic
1071,2025-08-01,Paid Search
1072,2025-04-01,Paid Search
1073,2025-02-01,Social Media
1074,2025-06-01,Paid Search
1075,2025-06-01,Paid Search
1076,2025-10-01,Social Media
1077,2025-04-01,Paid Search
1078,2025-06-01,Paid Search
1079,2025-02-01,Paid Search
1080,2025-10-01,Organic
1081,2025-12-01,Organic
1082,2025-02-01,Organic
1083,2025-10-01,Social Media
1084,2025-04-01,Email
1085,2025-08-01,Paid Search
1086,2025-07-01,Paid Search
1087,2025-12-01,Social Media
1088,2025-09-01,Paid Search
1089,2025-08-01,Organic
1090,2025-05-01,Email
1091,2025-02-01,Referral
1092,2025-05-01,Paid Search
1093,2025-08-01,Organic
1094,2025-10-01,Referral
1095,2025-09-01,Email
1096,2025-12-01,Referral
1097,2025-12-01,Organic
1098,2025-12-01,Referral
1099,2025-09-01,Social Media
1100,2025-01-01,Referral
1101,2025-09-01,Paid Search
1102,2025-07-01,Paid Search
1103,2025-09-01,Social Media
1104,2025-08-01,Organic
1105,2025-01-01,Paid Search
1106,2025-12-01,Email
1107,2025-08-01,Paid Search
1108,2025-08-01,Paid Search
1109,2025-11-01,Organic
1110,2025-03-01,Referral
1111,2025-01-01,Paid Search
1112,2025-08-01,Social Media
1113,2025-03-01,Referral
1114,2025-03-01,Email
1115,2025-01-01,Organic
1116,2025-11-01,Email
1117,2025-05-01,Referral
1118,2025-10-01,Referral
1119,2025-07-01,Referral
1120,2025-10-01,Email
1121,2025-09-01,Referral
1122,2025-12-01,Email
1123,2025-07-01,Referral
1124,2025-09-01,Social Media
1125,2025-08-01,Referral
1126,2025-12-01,Email
1127,2025-02-01,Paid Search
1128,2025-01-01,Referral
1129,2025-07-01,Paid Search
1130,2025-07-01,Social Media
1131,2025-08-01,Organic
1132,2025-05-01,Social Media
1133,2025-03-01,Referral
1134,2025-12-01,Paid Search
1135,2025-08-01,Paid Search
1136,2025-06-01,Email
1137,2025-11-01,Paid Search
1138,2025-03-01,Email
1139,2025-01-01,Organic
1140,2025-03-01,Referral
1141,2025-05-01,Email
1142,2025-03-01,Organic
1143,2025-01-01,Paid Search
1144,2025-05-01,Paid Search
1145,2025-10-01,Organic
1146,2025-07-01,Paid Search
1147,2025-07-01,Organic
1148,2025-11-01,Email
1149,2025-09-01,Email
1150,2025-10-01,Organic
1151,2025-10-01,Email
1152,2025-12-01,Email
1153,2025-03-01,Email
1154,2025-07-01,Social Media
1155,2025-01-01,Referral
1156,2025-04-01,Paid Search
1157,2025-04-01,Social Media
1158,2025-05-01,Email
1159,2025-07-01,Organic
1160,2025-07-01,Email
1161,2025-11-01,Referral
1162,2025-04-01,Email
1163,2025-07-01,Organic
1164,2025-11-01,Referral
1165,2025-03-01,Email
1166,2025-06-01,Referral
1167,2025-12-01,Paid Search
1168,2025-02-01,Paid Search
1169,2025-10-01,Email
1170,2025-09-01,Referral
1171,2025-05-01,Organic
1172,2025-06-01,Email
1173,2025-12-01,Paid Search
1174,2025-12-01,Paid Search
1175,2025-12-01,Email
1176,2025-12-01,Referral
1177,2025-04-01,Paid Search
1178,2025-11-01,Referral
1179,2025-10-01,Paid Search
1180,2025-07-01,Paid Search
1181,2025-12-01,Social Media
1182,2025-09-01,Paid Search
1183,2025-07-01,Organic
1184,2025-01-01,Email
1185,2025-01-01,Email
1186,2025-09-01,Referral
1187,2025-11-01,Paid Search
1188,2025-09-01,Organic
1189,2025-04-01,Referral
1190,2025-09-01,Social Media
1191,2025-03-01,Referral
1192,2025-07-01,Referral
1193,2025-06-01,Paid Search
1194,2025-08-01,Social Media
1195,2025-11-01,Referral
1196,2025-09-01,Organic
1197,2025-05-01,Organic
1198,2025-01-01,Email
1199,2025-03-01,Social Media
1200,2025-10-01,Social Media
1201,2025-12-01,Email
1202,2025-08-01,Referral
1203,2025-11-01,Social Media
1204,2025-06-01,Organic
1205,2025-08-01,Organic
1206,2025-09-01,Paid Search
1207,2025-04-01,Social Media
1208,2025-01-01,Referral
1209,2025-01-01,Email
1210,2025-10-01,Email
1211,2025-04-01,Referral
1212,2025-12-01,Paid Search
1213,2025-07-01,Email
1214,2025-02-01,Social Media
1215,2025-03-01,Paid Search
1216,2025-01-01,Social Media
1217,2025-05-01,Organic
1218,2025-01-01,Paid Search
1219,2025-08-01,Email
1220,2025-01-01,Paid Search
1221,2025-11-01,Paid Search
1222,2025-01-01,Paid Search
1223,2025-02-01,Paid Search
1224,2025-02-01,Social Media
1225,2025-12-01,Organic
1226,2025-06-01,Referral
1227,2025-07-01,Paid Search
1228,2025-05-01,Email
1229,2025-01-01,Paid Search
1230,2025-01-01,Email
1231,2025-03-01,Social Media
1232,2025-02-01,Email
1233,2025-05-01,Referral
1234,2025-12-01,Organic
1235,2025-10-01,Email
1236,2025-06-01,Email
1237,2025-07-01,Organic
1238,2025-04-01,Referral
1239,2025-07-01,Paid Search
1240,2025-11-01,Email
1241,2025-08-01,Organic
1242,2025-11-01,Social Media
1243,2025-01-01,Organic
1244,2025-06-01,Social Media
1245,2025-08-01,Referral
1246,2025-05-01,Paid Search
1247,2025-04-01,Organic
1248,2025-02-01,Email
1249,2025-06-01,Referral
1250,2025-06-01,Organic
1251,2025-11-01,Email
1252,2025-01-01,Organic
1253,2025-09-01,Social Media
1254,2025-12-01,Organic
1255,2025-11-01,Organic
1256,2025-06-01,Organic
1257,2025-03-01,Referral
1258,2025-04-01,Organic
1259,2025-12-01,Email
1260,2025-11-01,Social Media
1261,2025-04-01,Social Media
1262,2025-03-01,Organic
1263,2025-10-01,Referral
1264,2025-03-01,Referral
1265,2025-03-01,Email
1266,2025-04-01,Organic
1267,2025-07-01,Social Media
1268,2025-04-01,Referral
1269,2025-09-01,Organic
1270,2025-01-01,Referral
1271,2025-08-01,Referral
1272,2025-07-01,Social Media
1273,2025-02-01,Paid Search
1274,2025-08-01,Email
1275,2025-01-01,Email
1276,2025-11-01,Social Media
1277,2025-12-01,Referral
1278,2025-09-01,Organic
1279,2025-09-01,Referral
1280,2025-02-01,Social Media
1281,2025-07-01,Email
1282,2025-10-01,Referral
1283,2025-03-01,Email
1284,2025-07-01,Organic
1285,2025-12-01,Email
1286,2025-10-01,Email
1287,2025-09-01,Paid Search
1288,2025-04-01,Paid Search
1289,2025-12-01,Paid Search
1290,2025-01-01,Email
1291,2025-02-01,Social Media
1292,2025-01-01,Email
1293,2025-12-01,Social Media
1294,2025-05-01,Social Media
1295,2025-05-01,Paid Search
1296,2025-11-01,Referral
1297,2025-07-01,Organic
1298,2025-09-01,Paid Search
1299,2025-09-01,Paid Search
1300,2025-03-01,Referral
